,Count,Date,Day_of_week
20.05.2017,683,20-May-17,Saturday
20.06.2017,1041,20-Jun-17,Tuesday
20.07.2017,887,20-Jul-17,Thursday
20.08.2017,336,20-Aug-17,Sunday
20.09.2017,863,20-Sep-17,Wednesday
20.10.2017,1263,20-Oct-17,Friday
20.11.2017,1316,20-Nov-17,Monday
20.12.2016,618,20-Dec-16,Tuesday
20.12.2017,1532,20-Dec-17,Wednesday
21.01.2017,574,21-Jan-17,Saturday
21.02.2017,1058,21-Feb-17,Tuesday
21.03.2017,757,21-Mar-17,Tuesday
21.04.2017,1183,21-Apr-17,Friday
21.05.2017,343,21-May-17,Sunday
21.06.2017,937,21-Jun-17,Wednesday
21.07.2017,1191,21-Jul-17,Friday
21.08.2017,1292,21-Aug-17,Monday
21.09.2017,922,21-Sep-17,Thursday
21.10.2017,541,21-Oct-17,Saturday
21.11.2017,1104,21-Nov-17,Tuesday
21.12.2016,906,21-Dec-16,Wednesday
21.12.2017,1085,21-Dec-17,Thursday
22.01.2017,357,22-Jan-17,Sunday
22.02.2017,903,22-Feb-17,Wednesday
22.03.2017,565,22-Mar-17,Wednesday
22.04.2017,528,22-Apr-17,Saturday
22.05.2017,1391,22-May-17,Monday
22.06.2017,874,22-Jun-17,Thursday
22.07.2017,518,22-Jul-17,Saturday
22.08.2017,932,22-Aug-17,Tuesday
22.09.2017,1239,22-Sep-17,Friday
22.10.2017,391,22-Oct-17,Sunday
22.11.2017,1026,22-Nov-17,Wednesday
22.12.2016,675,22-Dec-16,Thursday
22.12.2017,1301,22-Dec-17,Friday
23.01.2017,1373,23-Jan-17,Monday
23.02.2017,893,23-Feb-17,Thursday
23.03.2017,353,23-Mar-17,Thursday
23.04.2017,297,23-Apr-17,Sunday
23.05.2017,1054,23-May-17,Tuesday
23.06.2017,1206,23-Jun-17,Friday
23.07.2017,326,23-Jul-17,Sunday
23.08.2017,935,23-Aug-17,Wednesday
23.09.2017,510,23-Sep-17,Saturday
23.10.2017,1420,23-Oct-17,Monday
23.11.2017,928,23-Nov-17,Thursday
23.12.2016,817,23-Dec-16,Friday
23.12.2017,478,23-Dec-17,Saturday
24.01.2017,961,24-Jan-17,Tuesday
24.02.2017,1416,24-Feb-17,Friday
24.03.2017,1707,24-Mar-17,Friday
24.04.2017,1396,24-Apr-17,Monday
24.05.2017,906,24-May-17,Wednesday
24.06.2017,515,24-Jun-17,Saturday
24.07.2017,1399,24-Jul-17,Monday
24.08.2017,957,24-Aug-17,Thursday
24.09.2017,329,24-Sep-17,Sunday
24.10.2017,1150,24-Oct-17,Tuesday
24.11.2017,1244,24-Nov-17,Friday
24.12.2016,432,24-Dec-16,Saturday
24.12.2017,277,24-Dec-17,Sunday
25.01.2017,1045,25-Jan-17,Wednesday
25.02.2017,525,25-Feb-17,Saturday
25.03.2017,515,25-Mar-17,Saturday
25.04.2017,999,25-Apr-17,Tuesday
25.05.2017,865,25-May-17,Thursday
25.06.2017,319,25-Jun-17,Sunday
25.07.2017,934,25-Jul-17,Tuesday
25.08.2017,1073,25-Aug-17,Friday
25.09.2017,1311,25-Sep-17,Monday
25.10.2017,983,25-Oct-17,Wednesday
25.11.2017,623,25-Nov-17,Saturday
25.12.2016,310,25-Dec-16,Sunday
25.12.2017,1200,25-Dec-17,Monday
26.01.2017,873,26-Jan-17,Thursday
26.02.2017,326,26-Feb-17,Sunday
26.03.2017,218,26-Mar-17,Sunday
26.04.2017,788,26-Apr-17,Wednesday
26.05.2017,1131,26-May-17,Friday
26.06.2017,1238,26-Jun-17,Monday
26.07.2017,864,26-Jul-17,Wednesday
26.08.2017,444,26-Aug-17,Saturday
26.09.2017,977,26-Sep-17,Tuesday
26.10.2017,1006,26-Oct-17,Thursday
26.11.2017,332,26-Nov-17,Sunday
26.12.2016,975,26-Dec-16,Monday
26.12.2017,874,26-Dec-17,Tuesday
27.01.2017,1107,27-Jan-17,Friday
27.02.2017,1102,27-Feb-17,Monday
27.03.2017,1149,27-Mar-17,Monday
27.04.2017,764,27-Apr-17,Thursday
27.05.2017,520,27-May-17,Saturday
27.06.2017,928,27-Jun-17,Tuesday
27.07.2017,773,27-Jul-17,Thursday
27.08.2017,277,27-Aug-17,Sunday
27.09.2017,997,27-Sep-17,Wednesday
27.10.2017,1273,27-Oct-17,Friday
27.11.2017,1250,27-Nov-17,Monday
27.12.2016,950,27-Dec-16,Tuesday
27.12.2017,921,27-Dec-17,Wednesday
28.01.2017,546,28-Jan-17,Saturday
28.02.2017,820,28-Feb-17,Tuesday
28.03.2017,707,28-Mar-17,Tuesday
28.04.2017,1058,28-Apr-17,Friday
28.05.2017,250,28-May-17,Sunday
28.06.2017,907,28-Jun-17,Wednesday
28.07.2017,1037,28-Jul-17,Friday
28.08.2017,1121,28-Aug-17,Monday
28.09.2017,978,28-Sep-17,Thursday
28.10.2017,524,28-Oct-17,Saturday
28.11.2017,936,28-Nov-17,Tuesday
28.12.2016,794,28-Dec-16,Wednesday
28.12.2017,971,28-Dec-17,Thursday
29.01.2017,295,29-Jan-17,Sunday
29.03.2017,581,29-Mar-17,Wednesday
29.04.2017,354,29-Apr-17,Saturday
29.05.2017,1159,29-May-17,Monday
29.06.2017,724,29-Jun-17,Thursday
29.07.2017,430,29-Jul-17,Saturday
29.08.2017,933,29-Aug-17,Tuesday
29.09.2017,1129,29-Sep-17,Friday
29.10.2017,269,29-Oct-17,Sunday
29.11.2017,894,29-Nov-17,Wednesday
29.12.2016,859,29-Dec-16,Thursday
29.12.2017,1281,29-Dec-17,Friday
30.01.2017,1067,30-Jan-17,Monday
30.03.2017,593,30-Mar-17,Thursday
30.04.2017,313,30-Apr-17,Sunday
30.05.2017,803,30-May-17,Tuesday
30.06.2017,751,30-Jun-17,Friday
30.07.2017,279,30-Jul-17,Sunday
30.08.2017,308,30-Aug-17,Wednesday
30.09.2017,481,30-Sep-17,Saturday
30.10.2017,1351,30-Oct-17,Monday
30.11.2017,992,30-Nov-17,Thursday
30.12.2016,945,30-Dec-16,Friday
30.12.2017,603,30-Dec-17,Saturday
31.01.2017,670,31-Jan-17,Tuesday
31.03.2017,797,31-Mar-17,Friday
31.05.2017,655,31-May-17,Wednesday
31.07.2017,909,31-Jul-17,Monday
31.08.2017,877,31-Aug-17,Thursday
31.10.2017,974,31-Oct-17,Tuesday
31.12.2016,381,31-Dec-16,Saturday
31.12.2017,411,31-Dec-17,Sunday
